[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 7200/20000 | loss 0.6255 | lr 1.54e-04 | 2.07 it/s
step 7250/20000 | loss 0.6716 | lr 1.54e-04 | 3.18 it/s
step 7300/20000 | loss 0.7553 | lr 1.53e-04 | 2.30 it/s
step 7350/20000 | loss 0.7496 | lr 1.52e-04 | 2.04 it/s
step 7400/20000 | loss 0.7981 | lr 1.52e-04 | 2.10 it/s
step 7450/20000 | loss 0.6365 | lr 1.51e-04 | 3.20 it/s
step 7500/20000 | loss 0.6847 | lr 1.50e-04 | 2.73 it/s
step 7550/20000 | loss 0.6761 | lr 1.50e-04 | 2.42 it/s
step 7600/20000 | loss 0.8401 | lr 1.49e-04 | 2.74 it/s
step 7650/20000 | loss 0.7773 | lr 1.48e-04 | 2.36 it/s
step 7700/20000 | loss 0.7418 | lr 1.47e-04 | 2.80 it/s
step 7750/20000 | loss 0.5655 | lr 1.47e-04 | 2.82 it/s
step 7800/20000 | loss 0.6801 | lr 1.46e-04 | 2.46 it/s
step 7850/20000 | loss 0.5910 | lr 1.45e-04 | 2.47 it/s
step 7900/20000 | loss 0.6404 | lr 1.45e-04 | 1.79 it/s
step 7950/20000 | loss 0.6290 | lr 1.44e-04 | 2.73 it/s
step 8000/20000 | loss 0.7281 | lr 1.43e-04 | 2.79 it/s
[val] step 8000: mode-B CER 24.53 | mode-A CER 24.29 | conditioning gain -0.24 | loss 0.7577
step 8050/20000 | loss 0.6791 | lr 1.42e-04 | 1.62 it/s
step 8100/20000 | loss 0.6580 | lr 1.42e-04 | 2.19 it/s
step 8150/20000 | loss 0.6842 | lr 1.41e-04 | 3.21 it/s
step 8200/20000 | loss 0.7772 | lr 1.40e-04 | 3.36 it/s
step 8250/20000 | loss 0.5328 | lr 1.40e-04 | 3.13 it/s
step 8300/20000 | loss 0.5675 | lr 1.39e-04 | 2.24 it/s
step 8350/20000 | loss 0.5998 | lr 1.38e-04 | 2.60 it/s
step 8400/20000 | loss 0.5992 | lr 1.37e-04 | 3.13 it/s
step 8450/20000 | loss 0.7235 | lr 1.37e-04 | 2.27 it/s
step 8500/20000 | loss 0.6728 | lr 1.36e-04 | 2.46 it/s
step 8550/20000 | loss 0.7265 | lr 1.35e-04 | 2.56 it/s
step 8600/20000 | loss 0.6504 | lr 1.34e-04 | 2.88 it/s
step 8650/20000 | loss 0.5626 | lr 1.34e-04 | 3.25 it/s
step 8700/20000 | loss 0.6048 | lr 1.33e-04 | 2.55 it/s
step 8750/20000 | loss 0.6248 | lr 1.32e-04 | 3.57 it/s
step 8800/20000 | loss 0.6197 | lr 1.31e-04 | 1.96 it/s
step 8850/20000 | loss 0.7792 | lr 1.31e-04 | 2.16 it/s
step 8900/20000 | loss 0.7258 | lr 1.30e-04 | 3.16 it/s
step 8950/20000 | loss 0.8325 | lr 1.29e-04 | 2.35 it/s
step 9000/20000 | loss 0.6630 | lr 1.28e-04 | 2.58 it/s
step 9050/20000 | loss 0.6218 | lr 1.28e-04 | 2.97 it/s
step 9100/20000 | loss 0.6203 | lr 1.27e-04 | 2.87 it/s
step 9150/20000 | loss 0.6524 | lr 1.26e-04 | 2.67 it/s
step 9200/20000 | loss 0.6768 | lr 1.25e-04 | 2.03 it/s
step 9250/20000 | loss 0.7057 | lr 1.24e-04 | 2.32 it/s
step 9300/20000 | loss 0.7545 | lr 1.24e-04 | 2.32 it/s
step 9350/20000 | loss 0.5762 | lr 1.23e-04 | 3.08 it/s
step 9400/20000 | loss 0.7589 | lr 1.22e-04 | 1.96 it/s
step 9450/20000 | loss 0.6989 | lr 1.21e-04 | 1.99 it/s
step 9500/20000 | loss 0.6547 | lr 1.21e-04 | 1.61 it/s
step 9550/20000 | loss 0.5536 | lr 1.20e-04 | 2.12 it/s
step 9600/20000 | loss 0.5905 | lr 1.19e-04 | 2.22 it/s
step 9650/20000 | loss 0.6364 | lr 1.18e-04 | 3.29 it/s
step 9700/20000 | loss 0.6690 | lr 1.18e-04 | 2.47 it/s
step 9750/20000 | loss 0.5307 | lr 1.17e-04 | 2.39 it/s
step 9800/20000 | loss 0.7228 | lr 1.16e-04 | 2.59 it/s
step 9850/20000 | loss 0.7720 | lr 1.15e-04 | 2.24 it/s
step 9900/20000 | loss 0.6308 | lr 1.14e-04 | 3.02 it/s
step 9950/20000 | loss 0.6850 | lr 1.14e-04 | 3.54 it/s
step 10000/20000 | loss 0.7680 | lr 1.13e-04 | 2.81 it/s
[val] step 10000: mode-B CER 25.85 | mode-A CER 25.37 | conditioning gain -0.48 | loss 0.8139
step 10050/20000 | loss 0.6611 | lr 1.12e-04 | 2.61 it/s
step 10100/20000 | loss 0.7678 | lr 1.11e-04 | 2.71 it/s
step 10150/20000 | loss 0.6429 | lr 1.10e-04 | 3.13 it/s
step 10200/20000 | loss 0.6810 | lr 1.10e-04 | 2.05 it/s
step 10250/20000 | loss 0.6190 | lr 1.09e-04 | 1.76 it/s
step 10300/20000 | loss 0.7088 | lr 1.08e-04 | 1.82 it/s
step 10350/20000 | loss 0.7612 | lr 1.07e-04 | 2.42 it/s
step 10400/20000 | loss 0.5930 | lr 1.07e-04 | 2.20 it/s
step 10450/20000 | loss 0.6665 | lr 1.06e-04 | 3.72 it/s
step 10500/20000 | loss 0.6740 | lr 1.05e-04 | 2.43 it/s
step 10550/20000 | loss 0.6331 | lr 1.04e-04 | 2.42 it/s
step 10600/20000 | loss 0.7617 | lr 1.03e-04 | 3.08 it/s
step 10650/20000 | loss 0.6660 | lr 1.03e-04 | 2.42 it/s
step 10700/20000 | loss 0.6920 | lr 1.02e-04 | 3.06 it/s
step 10750/20000 | loss 0.6857 | lr 1.01e-04 | 2.91 it/s
step 10800/20000 | loss 0.6621 | lr 1.00e-04 | 2.72 it/s
step 10850/20000 | loss 0.6568 | lr 9.95e-05 | 2.16 it/s
step 10900/20000 | loss 0.6243 | lr 9.87e-05 | 2.33 it/s
step 10950/20000 | loss 0.6569 | lr 9.79e-05 | 2.47 it/s
step 11000/20000 | loss 0.5898 | lr 9.72e-05 | 2.38 it/s
step 11050/20000 | loss 0.6160 | lr 9.64e-05 | 2.65 it/s
step 11100/20000 | loss 0.6631 | lr 9.56e-05 | 2.75 it/s
step 11150/20000 | loss 0.6251 | lr 9.48e-05 | 2.41 it/s
step 11200/20000 | loss 0.6190 | lr 9.40e-05 | 1.87 it/s
step 11250/20000 | loss 0.8146 | lr 9.32e-05 | 2.69 it/s
step 11300/20000 | loss 0.8041 | lr 9.25e-05 | 1.67 it/s
step 11350/20000 | loss 0.7196 | lr 9.17e-05 | 2.11 it/s
step 11400/20000 | loss 0.7085 | lr 9.09e-05 | 2.48 it/s
step 11450/20000 | loss 0.6226 | lr 9.01e-05 | 2.48 it/s
step 11500/20000 | loss 0.7189 | lr 8.94e-05 | 3.27 it/s
step 11550/20000 | loss 0.6517 | lr 8.86e-05 | 3.30 it/s
step 11600/20000 | loss 0.7479 | lr 8.78e-05 | 2.16 it/s
step 11650/20000 | loss 0.8174 | lr 8.70e-05 | 2.33 it/s
step 11700/20000 | loss 0.7352 | lr 8.63e-05 | 2.32 it/s
step 11750/20000 | loss 0.6595 | lr 8.55e-05 | 3.34 it/s
step 11800/20000 | loss 0.5711 | lr 8.47e-05 | 2.54 it/s
step 11850/20000 | loss 0.7358 | lr 8.40e-05 | 3.43 it/s
step 11900/20000 | loss 0.5944 | lr 8.32e-05 | 3.14 it/s
step 11950/20000 | loss 0.7883 | lr 8.24e-05 | 1.74 it/s
step 12000/20000 | loss 0.5961 | lr 8.17e-05 | 2.48 it/s
[val] step 12000: mode-B CER 23.03 | mode-A CER 22.94 | conditioning gain -0.09 | loss 0.6843
