[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 20500/70000 | loss 2.0198 | lr 8.37e-04 | 2.42 it/s
step 20600/70000 | loss 1.9944 | lr 8.35e-04 | 2.45 it/s
step 20700/70000 | loss 1.9618 | lr 8.33e-04 | 3.02 it/s
step 20800/70000 | loss 1.9513 | lr 8.32e-04 | 2.50 it/s
step 20900/70000 | loss 2.0445 | lr 8.30e-04 | 2.52 it/s
step 21000/70000 | loss 1.9066 | lr 8.28e-04 | 3.23 it/s
step 21100/70000 | loss 1.9976 | lr 8.27e-04 | 2.54 it/s
step 21200/70000 | loss 2.0284 | lr 8.25e-04 | 2.82 it/s
step 21300/70000 | loss 1.9224 | lr 8.23e-04 | 2.66 it/s
step 21400/70000 | loss 1.9806 | lr 8.22e-04 | 2.25 it/s
step 21500/70000 | loss 1.9153 | lr 8.20e-04 | 2.94 it/s
step 21600/70000 | loss 1.9860 | lr 8.18e-04 | 2.57 it/s
step 21700/70000 | loss 1.9936 | lr 8.16e-04 | 2.35 it/s
step 21800/70000 | loss 1.9909 | lr 8.15e-04 | 3.66 it/s
step 21900/70000 | loss 1.9569 | lr 8.13e-04 | 2.47 it/s
step 22000/70000 | loss 1.9278 | lr 8.11e-04 | 3.06 it/s
step 22100/70000 | loss 1.9064 | lr 8.09e-04 | 2.46 it/s
step 22200/70000 | loss 1.8862 | lr 8.08e-04 | 3.31 it/s
step 22300/70000 | loss 1.9712 | lr 8.06e-04 | 2.16 it/s
step 22400/70000 | loss 1.9792 | lr 8.04e-04 | 2.08 it/s
step 22500/70000 | loss 1.9412 | lr 8.02e-04 | 1.92 it/s
[val] step 22500: mode-B CER 64.84 | mode-A CER 64.75 | conditioning gain -0.09 | loss 2.4990
step 22600/70000 | loss 1.9411 | lr 8.01e-04 | 2.99 it/s
step 22700/70000 | loss 1.9418 | lr 7.99e-04 | 2.65 it/s
step 22800/70000 | loss 1.8925 | lr 7.97e-04 | 2.62 it/s
step 22900/70000 | loss 1.9173 | lr 7.95e-04 | 3.02 it/s
step 23000/70000 | loss 1.9534 | lr 7.93e-04 | 2.77 it/s
step 23100/70000 | loss 1.9789 | lr 7.92e-04 | 3.09 it/s
step 23200/70000 | loss 1.8635 | lr 7.90e-04 | 2.73 it/s
step 23300/70000 | loss 1.9490 | lr 7.88e-04 | 2.66 it/s
step 23400/70000 | loss 1.9468 | lr 7.86e-04 | 2.43 it/s
step 23500/70000 | loss 1.9503 | lr 7.84e-04 | 2.99 it/s
step 23600/70000 | loss 1.9613 | lr 7.82e-04 | 2.50 it/s
step 23700/70000 | loss 1.9370 | lr 7.81e-04 | 3.33 it/s
step 23800/70000 | loss 1.9291 | lr 7.79e-04 | 2.70 it/s
step 23900/70000 | loss 1.8958 | lr 7.77e-04 | 2.56 it/s
step 24000/70000 | loss 1.9813 | lr 7.75e-04 | 3.03 it/s
step 24100/70000 | loss 1.9655 | lr 7.73e-04 | 2.55 it/s
step 24200/70000 | loss 1.9669 | lr 7.71e-04 | 3.00 it/s
step 24300/70000 | loss 1.9119 | lr 7.69e-04 | 2.47 it/s
step 24400/70000 | loss 1.9578 | lr 7.68e-04 | 2.71 it/s
step 24500/70000 | loss 1.8752 | lr 7.66e-04 | 2.89 it/s
step 24600/70000 | loss 1.8936 | lr 7.64e-04 | 2.89 it/s
step 24700/70000 | loss 1.9633 | lr 7.62e-04 | 3.17 it/s
step 24800/70000 | loss 1.8692 | lr 7.60e-04 | 3.26 it/s
step 24900/70000 | loss 1.8584 | lr 7.58e-04 | 2.48 it/s
step 25000/70000 | loss 1.8754 | lr 7.56e-04 | 2.73 it/s
[val] step 25000: mode-B CER 64.77 | mode-A CER 64.36 | conditioning gain -0.40 | loss 2.6587
step 25100/70000 | loss 1.9456 | lr 7.54e-04 | 1.91 it/s
step 25200/70000 | loss 1.9353 | lr 7.52e-04 | 2.45 it/s
step 25300/70000 | loss 1.8266 | lr 7.50e-04 | 2.81 it/s
